title,tyear,duration,score
Big Momma's House ,2000,99,5.1
Thunder and the House of Magic ,2013,85,6.3
The Darkest Hour ,2011,89,4.9
Step Up Revolution ,2012,99,6.5
Snakes on a Plane ,2006,105,5.6
The Watcher ,2000,97,5.3
The Punisher ,2004,140,6.5
Goal! The Dream Begins ,2005,118,6.8
Safe ,2012,94,6.5
Pushing Tin ,1999,124,6
Star Wars: Episode VI - Return of the Jedi ,1983,134,8.4
Doomsday ,2008,113,6
The Reader ,2008,124,7.6
Wanderlust ,2012,98,5.6
Elf ,2003,97,6.9
Phenomenon ,1996,123,6.4
Snow Dogs ,2002,99,5.1
Scrooged ,1988,101,7
Nacho Libre ,2006,92,5.7
Bridesmaids ,2011,131,6.8
This Is the End ,2013,107,6.7
Stigmata ,1999,103,6.2
Men of Honor ,2000,129,7.2
Takers ,2010,107,6.2
The Big Wedding ,2013,89,5.6
"Big Mommas: Like Father, Like Son ",2011,113,4.4
Source Code ,2011,93,7.5
Alive ,1993,120,7.1
The Number 23,2007,98,6.4
The Young and Prodigious T.S. Spivet ,2013,105,7.1
1941,1979,142,5.9
Dreamer: Inspired by a True Story ,2005,98,6.9
A History of Violence ,2005,96,7.5
Transporter 2,2005,87,6.3
The Quick and the Dead ,1995,107,6.4
Laws of Attraction ,2004,90,5.9
Bringing Out the Dead ,1999,121,6.8
Repo Men ,2010,119,6.3
Dragon Wars: D-War ,2007,107,3.6
Bogus ,1996,110,5.3
The Incredible Burt Wonderstone ,2013,100,5.9
Cats Don't Dance ,1997,75,6.9
Cradle Will Rock ,1999,132,6.9
The Good German ,2006,105,6.1
George and the Dragon ,2004,93,5.7
Apocalypse Now ,1979,289,8.5
Going the Distance ,2010,102,6.3
Mr. Holland's Opus ,1995,143,7.3
Criminal ,2016,113,6.3
Out of Africa ,1985,161,7.2
Flight ,2012,138,7.3
Moonraker ,1979,126,6.3
The Grand Budapest Hotel ,2014,99,8.1
Hearts in Atlantis ,2001,101,6.9
Arachnophobia ,1990,103,6.3
Frequency ,2000,118,7.3
Ghostbusters ,2016,116,5.5
Vacation ,2015,99,6.1
Get Shorty ,1995,105,6.9
Chicago ,2002,113,7.2
Big Daddy ,1999,93,6.4
American Pie 2,2001,108,6.4
Toy Story ,1995,74,8.3
Speed ,1994,116,7.2
The Vow ,2012,104,6.8
Extraordinary Measures ,2010,106,6.5
Remember the Titans ,2000,120,7.8
The Hunt for Red October ,1990,135,7.6
Lee Daniels' The Butler ,2013,132,7.2
Dodgeball: A True Underdog Story ,2004,92,6.7
The Addams Family ,1991,99,6.8
Ace Ventura: When Nature Calls ,1995,90,6.3
The Princess Diaries ,2001,111,6.2
The First Wives Club ,1996,103,6.2
Se7en,1995,127,8.6
District 9,2009,112,8
The SpongeBob SquarePants Movie ,2004,87,7
Mystic River ,2003,138,8
Million Dollar Baby ,2004,132,8.1
Analyze This ,1999,103,6.7
The Notebook ,2004,123,7.9
27 Dresses,2008,111,6.1
Hannah Montana: The Movie ,2009,102,4.2
Rugrats in Paris: The Movie ,2000,78,6.1
The Prince of Tides ,1991,132,6.6
Legends of the Fall ,1994,133,7.5
Up in the Air ,2009,108,7.4
About Schmidt ,2002,125,7.2
Warm Bodies ,2013,98,6.9
Looper ,2012,119,7.4
Down to Earth ,2001,87,5.4
Babe ,1995,91,6.8
Hope Springs ,2012,100,6.3
Forgetting Sarah Marshall ,2008,118,7.2
Friday Night Lights             ,,44,8.7
Four Brothers ,2005,109,6.9
Baby Mama ,2008,99,6
Hope Floats ,1998,114,5.9
Bride Wars ,2009,89,5.4
Without a Paddle ,2004,95,5.9
13 Going on 30,2004,98,6.1
Midnight in Paris ,2011,94,7.7
The Nut Job ,2014,85,5.8
Blow ,2001,124,7.6
Message in a Bottle ,1999,131,6.1
Star Trek V: The Final Frontier ,1989,107,5.4
Like Mike ,2002,99,5.1
Naked Gun 33 1/3: The Final Insult,1994,83,6.4
A View to a Kill ,1985,131,6.3
The Curse of the Were-Rabbit ,2005,85,7.5
P.S. I Love You ,2007,126,7.1
Racing Stripes ,2005,102,5.2
Atonement ,2007,123,7.8
Letters to Juliet ,2010,105,6.5
Black Rain ,1989,125,6.6
The Three Stooges ,2012,92,5.1
Corpse Bride ,2005,77,7.4
Glory Road ,2006,118,7.2
Sicario ,2015,121,7.6
Southpaw ,2015,124,7.5
Drag Me to Hell ,2009,99,6.6
The Age of Adaline ,2015,112,7.2
Secondhand Lions ,2003,111,7.6
Step Up 3D,2010,107,6.2
Blue Crush ,2002,104,5.6
Stranger Than Fiction ,2006,113,7.6
30 Days of Night,2007,113,6.6
The Cabin in the Woods ,2012,95,7
Meet the Spartans ,2008,86,2.7
Midnight Run ,1988,126,7.6
The Running Man ,1987,101,6.6
Little Shop of Horrors ,1986,102,6.9
Hanna ,2011,111,6.8
The Family             ,,60,7.5
Mortal Kombat: Annihilation ,1997,95,3.7
Larry Crowne ,2011,98,6.1
Carrie ,2013,100,5.9
Take the Lead ,2006,118,6.7
Entourage             ,,28,8.5
Gridiron Gang ,2006,125,6.9
What's the Worst That Could Happen? ,2001,94,5.5
9,2009,79,7.1
Side Effects ,2013,106,7.1
The Prince and Me ,2004,111,5.9
Winnie the Pooh ,2011,63,7.3
Dumb and Dumberer: When Harry Met Lloyd ,2003,85,3.4
Bulworth ,1998,108,6.8
Get on Up ,2014,139,6.9
One True Thing ,1998,127,7
Virtuosity ,1995,106,5.5
My Super Ex-Girlfriend ,2006,95,5.1
Deliver Us from Evil ,2014,118,6.2
Sanctum ,2011,108,5.9
Little Black Book ,2004,105,5.2
The Five-Year Engagement ,2012,131,6.2
Mr 3000,2004,104,5.5
The Next Three Days ,2010,133,7.4
Ultraviolet ,2006,94,4.4
Assault on Precinct 13,2005,109,6.3
The Replacement Killers ,1998,96,6.1
Fled ,1996,105,5.3
Eight Legged Freaks ,2002,99,5.4
Love & Other Drugs ,2010,112,6.7
88 Minutes,2007,108,5.9
North Country ,2005,126,7.3
The Whole Ten Yards ,2004,98,5.5
Splice ,2009,104,5.8
Howard the Duck ,1986,110,4.6
Pride and Glory ,2008,130,6.7
The Cave ,2005,93,5.1
Alex & Emma ,2003,96,5.6
Wicker Park ,2004,114,7
Fright Night ,2011,106,6.4
The New World ,2005,150,6.7
Wing Commander ,1999,100,4.1
In Dreams ,1999,100,5.5
Dragonball: Evolution ,2009,100,2.7
The Last Stand ,2013,107,6.4
Godsend ,2004,102,4.8
Chasing Liberty ,2004,101,6.1
Hoodwinked Too! Hood vs. Evil ,2011,86,4.8
An Unfinished Life ,2005,108,7
The Imaginarium of Doctor Parnassus ,2009,123,6.8
Barney's Version ,2010,134,7.3
Trapped             ,,511,8.2
Runner Runner ,2013,88,5.6
Antitrust ,2001,109,6.1
Glory ,1989,122,7.9
Once Upon a Time in America ,1984,251,8.4
Dead Man Down ,2013,118,6.5
The Merchant of Venice ,2004,131,7.1
The Good Thief ,2002,109,6.6
Supercross ,2005,80,4
Miss Potter ,2006,88,7
The Promise ,2005,103,5.6
DOA: Dead or Alive ,2006,87,4.8
The Assassination of Jesse James by the Coward Robert Ford ,2007,160,7.5
1911,2011,121,6
Little Nicholas ,2009,91,7.2
Wild Card ,2015,92,5.6
Machine Gun Preacher ,2011,129,6.8
Animals United ,2010,93,4.9
The Color of Freedom ,2007,118,7.1
United Passions ,2014,110,2
Grace of Monaco ,2014,103,5.7
A Warrior's Tail ,2015,85,4.1
Ripley's Game ,2002,110,6.7
Sausage Party ,2016,89,7.5
Pitch Perfect 2,2015,115,6.5
Walk the Line ,2005,153,7.9
12 Monkeys,,42,7.6
Keeping the Faith ,2000,128,6.4
The Borrowers ,1997,89,5.8
Frost/Nixon ,2008,122,7.7
Confessions of a Dangerous Mind ,2002,113,7.1
Serving Sara ,2002,99,5.3
The Boss ,2016,99,5.3
Cry Freedom ,1987,147,7.5
Mumford ,1999,112,6.9
Seed of Chucky ,2004,88,4.9
The Jacket ,2005,94,7.1
Aladdin ,1992,90,8
Straight Outta Compton ,2015,167,7.9
Indiana Jones and the Temple of Doom ,1984,118,7.6
The Rugrats Movie ,1998,83,5.9
Along Came a Spider ,2001,104,6.3
Florence Foster Jenkins ,2016,110,7.1
Once Upon a Time in Mexico ,2003,102,6.4
Die Hard ,1988,131,8.2
Role Models ,2008,101,6.9
The Big Short ,2015,130,7.8
Taking Woodstock ,2009,120,6.7
Miracle ,2004,135,7.5
Dawn of the Dead ,2004,110,7.4
The Wedding Planner ,2001,103,5.2
Harlock: Space Pirate ,2013,115,6.5
The Royal Tenenbaums ,2001,110,7.6
Identity ,2003,91,7.3
Last Vegas ,2013,105,6.6
For Your Eyes Only ,1981,127,6.8
Serendipity ,2001,82,6.9
Timecop ,1994,99,5.8
Zoolander ,2001,90,6.6
Safe Haven ,2013,115,6.7
Hocus Pocus ,1993,96,6.7
No Reservations ,2007,104,6.3
Kick-Ass ,2010,117,7.7
30 Minutes or Less,2011,83,6.1
Dracula 2000,2000,99,4.9
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",2014,81,6.2
Pride & Prejudice ,2005,135,7.8
Blade Runner ,1982,117,8.2
Rob Roy ,1995,139,6.9
3 Days to Kill,2014,123,6.2
We Own the Night ,2007,117,6.9
Lost Souls ,2000,97,4.8
Winged Migration ,2001,81,8
Just My Luck ,2006,103,5.3
"Mystery, Alaska ",1999,119,6.7
The Spy Next Door ,2010,94,5.4
A Simple Wish ,1997,89,5.4
Ghosts of Mars ,2001,98,4.9
Our Brand Is Crisis ,2015,107,6.1
Pride and Prejudice and Zombies ,2016,108,5.8
Kundun ,1997,134,7
How to Lose Friends & Alienate People ,2008,110,6.5
Kick-Ass 2,2013,103,6.6
Captain Alatriste: The Spanish Musketeer ,2006,145,6.1
Brick Mansions ,2014,100,5.7
Octopussy ,1983,131,6.6
Knocked Up ,2007,133,7
My Sister's Keeper ,2009,109,7.4
"Welcome Home, Roscoe Jenkins ",2008,114,5.3
A Passage to India ,1984,164,7.4
Notes on a Scandal ,2006,92,7.4
Rendition ,2007,122,6.8
Limitless             ,,42,7.9
Star Trek VI: The Undiscovered Country ,1991,110,7.2
Divine Secrets of the Ya-Ya Sisterhood ,2002,116,6
The Jungle Book ,2016,106,7.8
Kiss the Girls ,1997,115,6.6
The Blues Brothers ,1980,148,7.9
The Sisterhood of the Traveling Pants 2,2008,119,6.2
Joyful Noise ,2012,118,5.7
About a Boy ,2002,101,7.1
Lake Placid ,1999,82,5.6
Lucky Number Slevin ,2006,110,7.8
The Right Stuff ,1983,193,7.9
Anonymous ,2011,130,6.9
The NeverEnding Story ,1984,94,7.4
Dark City ,1998,111,7.7
The Duchess ,2008,110,6.9
The Honeymooners             ,,30,8.7
Return to Oz ,1985,109,6.7
The Newton Boys ,1998,123,6
Case 39,2009,109,6.2
Suspect Zero ,2004,99,5.9
Martian Child ,2007,106,6.8
Spy Kids: All the Time in the World in 4D,2011,89,3.6
Money Monster ,2016,98,6.7
Formula 51,2001,93,6.3
Flawless ,1999,112,6.4
Mindhunters ,2004,101,6.4
What Just Happened ,2008,104,5.7
The Statement ,2003,120,6.2
The Magic Flute ,2006,135,6.6
Paul Blart: Mall Cop ,2009,91,5.2
Freaky Friday ,2003,97,6.1
The 40-Year-Old Virgin,2005,133,7.1
Shakespeare in Love ,1998,123,7.2
A Walk Among the Tombstones ,2014,114,6.5
Kindergarten Cop ,1990,111,6
Pineapple Express ,2008,117,7
Ever After: A Cinderella Story ,1998,121,7
Open Range ,2003,139,7.5
Flatliners ,1990,115,6.6
It's Always Sunny in Philadelphia             ,,22,8.8
A Bridge Too Far ,1977,175,7.4
Red Eye ,2005,85,6.5
Final Destination 2,2003,90,6.2
"O Brother, Where Art Thou? ",2000,107,7.8
Legion ,2010,100,5.2
Pain & Gain ,2013,129,6.5
In Good Company ,2004,109,6.5
Clockstoppers ,2002,94,5.2
Silverado ,1985,133,7.2
Brothers ,2009,105,7.1
Agent Cody Banks 2: Destination London,2004,100,4.5
New Year's Eve ,2011,113,5.7
Original Sin ,2001,118,6
The Raven ,2012,110,6.4
Welcome to Mooseport ,2004,110,5.2
Highlander: The Final Dimension ,1994,99,4.3
Blood and Wine ,1996,101,6.1
Snow White: A Tale of Terror ,1997,100,6.3
The Curse of the Jade Scorpion ,2001,103,6.8
Accidental Love ,2015,100,4
Flipper ,1996,95,5.2
Self/less ,2015,117,6.5
The Constant Gardener ,2005,129,7.5
The Passion of the Christ ,2004,120,7.1
Mrs. Doubtfire ,1993,125,6.9
Rain Man ,1988,133,8
Gran Torino ,2008,116,8.2
W. ,2008,129,6.4
Taken ,2008,93,7.9
The Best of Me ,2014,118,6.7
The Bodyguard ,1992,129,6.1
Schindler's List ,1993,185,8.9
The Help ,2011,146,8.1
The Fifth Estate ,2013,128,6.2
Scooby-Doo 2: Monsters Unleashed,2004,93,4.9
Viy ,2014,107,5.4
Freddy vs. Jason ,2003,97,5.8
The Face of an Angel ,2014,101,4.7
Jimmy Neutron: Boy Genius ,2001,82,6
Cloverfield ,2008,85,7
Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,1991,88,6
The Untouchables ,1987,119,7.9
No Country for Old Men ,2007,122,8.1
Ride Along ,2014,99,6.2
Bridget Jones's Diary ,2001,97,6.7
Chocolat ,2000,121,7.3
"Legally Blonde 2: Red, White & Blonde",2003,95,4.6
Parental Guidance ,2012,105,6.1
No Strings Attached ,2011,108,6.2
Tombstone ,1993,134,7.8
Romeo Must Die ,2000,115,6.1
The Omen ,1976,107,7.6
Final Destination 3,2006,86,5.8
The Lucky One ,2012,101,6.5
Bridge to Terabithia ,2007,96,7.2
Finding Neverland ,2004,101,7.8
A Madea Christmas ,2013,100,4.7
The Grey ,2011,117,6.8
Hide and Seek ,2005,101,5.9
Anchorman: The Legend of Ron Burgundy ,2004,98,7.2
Goodfellas ,1990,146,8.7
Agent Cody Banks ,2003,102,5
Nanny McPhee ,2005,97,6.6
Scarface ,1983,142,8.3
Nothing to Lose ,1997,98,6.7
The Last Emperor ,1987,219,7.8
Contraband ,2012,109,6.5
Money Talks ,1997,97,6.1
There Will Be Blood ,2007,158,8.1
The Wild Thornberrys Movie ,2002,85,5.2
Rugrats Go Wild ,2003,80,5.6
Undercover Brother ,2002,86,5.8
The Sisterhood of the Traveling Pants ,2005,119,6.6
Kiss of the Dragon ,2001,98,6.6
The House Bunny ,2008,97,5.5
Beauty Shop ,2005,105,5.5
Million Dollar Arm ,2014,124,7
The Giver ,2014,97,6.5
What a Girl Wants ,2003,105,5.8
Jeepers Creepers II ,2003,104,5.6
Good Luck Chuck ,2007,101,5.6
Cradle 2 the Grave,2003,101,5.8
The Hours ,2002,114,7.6
She's the Man ,2006,105,6.4
Mr. Bean's Holiday ,2007,90,6.3
Anacondas: The Hunt for the Blood Orchid ,2004,97,4.6
Blood Ties ,2013,144,6.5
August Rush ,2007,114,7.5
Elizabeth ,1998,124,7.5
Bride of Chucky ,1998,89,5.3
Tora! Tora! Tora! ,1970,160,7.5
Spice World ,1997,93,3.3
The Sitter ,2011,87,5.7
Dance Flick ,2009,88,3.5
The Shawshank Redemption ,1994,142,9.3
Crocodile Dundee in Los Angeles ,2001,92,4.8
Kingpin ,1996,117,6.9
The Gambler ,2014,111,6
August: Osage County ,2013,121,7.3
Ice Princess ,2005,98,6
A Lot Like Love ,2005,107,6.6
Eddie the Eagle ,2016,106,7.5
He Got Game ,1998,136,6.9
Don Juan DeMarco ,1994,97,6.8
Shaun the Sheep             ,,7,8.3
Dear John ,2010,108,6.3
The Losers ,2010,97,6.4
Don't Be Afraid of the Dark ,2010,99,5.6
War ,2007,103,6.3
Punch-Drunk Love ,2002,95,7.3
EuroTrip ,2004,93,6.6
Half Past Dead ,2002,98,4.6
Unaccompanied Minors ,2006,90,5.1
"Bright Lights, Big City ",1988,107,5.6
The Adventures of Pinocchio ,1996,90,5.3
The Greatest Game Ever Played ,2005,120,7.5
The Box ,2009,115,5.6
The Ruins ,2008,93,5.9
The Next Best Thing ,2000,99,4.7
My Soul to Take ,2010,107,4.8
The Girl Next Door ,2004,110,6.8
Maximum Risk ,1996,101,5.4
Stealing Harvard ,2002,85,5.1
Legend ,2015,132,7
Hot Rod ,2007,88,6.7
Shark Night 3D,2011,90,4
Angela's Ashes ,1999,145,7.3
Draft Day ,2014,110,6.8
Lifeforce ,1985,101,6.1
The Powerpuff Girls             ,,30,7.2
The Conspirator ,2010,122,7
Lords of Dogtown ,2005,107,7.1
The 33,2015,127,6.9
Big Trouble in Little China ,1986,99,7.3
A Perfect Plan ,2012,104,6.3
Warrior ,2011,140,8.2
Michael Collins ,1996,133,7.1
Gettysburg ,1993,271,7.7
Stop-Loss ,2008,112,6.5
Abandon ,2002,99,4.9
Brokedown Palace ,1999,100,6.4
The Possession ,2012,92,5.9
Mrs. Winterbourne ,1996,105,6.2
Straw Dogs ,2011,110,5.8
The Hoax ,2006,116,6.7
Stone Cold ,1991,88,5.9
The Road ,2009,111,7.3
Sheena ,1984,117,4.8
Underclassman ,2005,95,4.1
Say It Isn't So ,2001,95,4.9
The World's Fastest Indian ,2005,127,7.9
Snakes on a Plane ,2006,105,5.6
Tank Girl ,1995,104,5.2
King's Ransom ,2005,95,4.1
Blindness ,2008,121,6.6
BloodRayne ,2005,92,2.9
Carnage ,2011,80,7.2
Where the Truth Lies ,2005,107,6.5
Cirque du Soleil: Worlds Away ,2012,91,6.8
Without Limits ,1998,117,7.2
Me and Orson Welles ,2008,107,6.8
The Best Offer ,2013,131,7.8
Bad Lieutenant: Port of Call New Orleans ,2009,122,6.7
A Turtle's Tale: Sammy's Adventures ,2010,88,6.1
Little White Lies ,2010,134,7.1
Love Ranch ,2010,117,5.7
The True Story of Puss'N Boots ,2009,80,2.9
Space Dogs ,2010,85,5.2
The Counselor ,2013,138,5.3
Ironclad ,2011,121,6.2
Waterloo ,1970,134,7.3
Kung Fu Killer ,2014,100,6.5
Red Sky ,2014,100,4.1
Dangerous Liaisons ,1988,119,7.7
On the Road ,2012,137,6.1
Star Trek IV: The Voyage Home ,1986,119,7.3
Rocky Balboa ,2006,139,7.2
Point Break ,2015,114,5.3
Scream 2,1997,120,6.1
Jane Got a Gun ,2016,98,5.8
Think Like a Man Too ,2014,106,5.7
The Whole Nine Yards ,2000,98,6.7
Footloose ,1984,107,6.5
Old School ,2003,88,7.2
The Fisher King ,1991,137,7.6
I Still Know What You Did Last Summer ,1998,100,4.6
Return to Me ,2000,115,6.9
Zack and Miri Make a Porno ,2008,101,6.6
Nurse Betty ,2000,110,6.3
The Men Who Stare at Goats ,2009,94,6.2
Double Take ,2001,88,5.3
"Girl, Interrupted ",1999,127,7.3
Win a Date with Tad Hamilton! ,2004,95,5.6
Muppets from Space ,1999,87,6.2
The Wiz ,1978,118,5.2
Ready to Rumble ,2000,107,5.3
Play It to the Bone ,1999,124,5.4
I Don't Know How She Does It ,2011,89,4.9
Piranha 3D,2010,88,5.5
Beyond the Sea ,2004,118,6.7
Meet the Deedles ,1998,93,3.9
The Princess and the Cobbler ,1993,80,7.2
The Bridge of San Luis Rey ,2004,120,5.1
Faster ,2010,98,6.5
Howl's Moving Castle ,2004,119,8.2
Zombieland ,2009,88,7.7
King Kong ,2005,201,7.2
The Waterboy ,1998,90,6.1
Star Wars: Episode V - The Empire Strikes Back ,1980,127,8.8
Bad Boys ,1995,119,6.8
The Naked Gun 2½: The Smell of Fear,1991,85,6.8
Final Destination ,2000,98,6.7
The Ides of March ,2011,101,7.1
Pitch Black ,2000,112,7.1
Someone Like You... ,2001,97,6.1
Her ,2013,126,8
Eddie the Eagle ,2016,106,7.5
Joy Ride ,2001,97,6.6
The Adventurer: The Curse of the Midas Box ,2013,100,5.4
Anywhere But Here ,1999,114,6.1
Chasing Liberty ,2004,101,6.1
The Crew ,2000,88,5.6
Haywire ,2011,93,5.8
Jaws: The Revenge ,1987,92,2.8
Marvin's Room ,1996,98,6.7
The Longshots ,2008,94,5.1
The End of the Affair ,1999,102,7.2
Harley Davidson and the Marlboro Man ,1991,98,6
In the Valley of Elah ,2007,121,7.2
Coco Before Chanel ,2009,111,6.7
Forsaken ,2015,90,6.3
Chéri ,2009,100,6.2
Rogue             ,,50,6.8
Vanity Fair ,2004,141,6.2
Bodyguards and Assassins ,2009,139,6.9
1408,2007,114,6.8
Spaceballs ,1987,96,7.1
The Water Diviner ,2014,111,7.1
Ghost ,1990,127,7
There's Something About Mary ,1998,107,7.1
The Santa Clause ,1994,97,6.4
The Rookie ,2002,127,7
The Game Plan ,2007,110,6.2
The Bridges of Madison County ,1995,135,7.5
The Animal ,2001,84,4.8
Gandhi ,1982,240,8.1
The Hundred-Foot Journey ,2014,122,7.3
The Net ,1995,114,5.8
I Am Sam ,2001,132,7.6
Son of God ,2014,170,5.6
Underworld ,2003,133,7
Derailed ,2005,112,6.6
The Informant! ,2009,108,6.5
Shadowlands ,1993,115,7.4
Deuce Bigalow: European Gigolo ,2005,83,4.6
Delivery Man ,2013,105,6.4
Victor Frankenstein ,2015,110,6
Our Kind of Traitor ,2016,108,6.4
Saving Silverman ,2001,96,5.9
Diary of a Wimpy Kid: Dog Days ,2012,94,6.4
Summer of Sam ,1999,142,6.6
Jay and Silent Bob Strike Back ,2001,104,6.9
The Island ,2005,136,6.9
The Glass House ,2001,106,5.8
"Hail, Caesar! ",2016,106,6.4
Josie and the Pussycats ,2001,98,5.3
Homefront ,2013,100,6.5
The Little Vampire ,2000,95,5.7
I Heart Huckabees ,2004,107,6.7
RoboCop 3,1993,104,3.9
Megiddo: The Omega Code 2,2001,104,4.1
Darling Lili ,1970,143,6.2
Dudley Do-Right ,1999,77,3.8
The Transporter Refueled ,2015,96,5.1
The Libertine ,2004,114,6.4
Black Book ,2006,145,7.8
Joyeux Noel ,2005,116,7.8
Hit and Run ,2012,100,6.1
Mad Money ,2008,104,5.8
Before I Go to Sleep ,2014,92,6.3
Sorcerer ,1977,92,7.7
Stone ,2010,105,5.4
Molière ,2007,120,7.3
Out of the Furnace ,2013,116,6.8
Michael Clayton ,2007,119,7.3
My Fellow Americans ,1996,101,6.5
Arlington Road ,1999,117,7.2
Underdogs ,2013,106,6.7
To Rome with Love ,2012,112,6.3
Firefox ,1982,136,5.9
South Park: Bigger Longer & Uncut ,1999,81,7.8
Death at a Funeral ,2007,87,7.4
Teenage Mutant Ninja Turtles III ,1993,96,4.8
Hardball ,2001,106,6.3
Silver Linings Playbook ,2012,122,7.8
Freedom Writers ,2007,123,7.5
For Colored Girls ,2010,133,6
The Transporter ,2002,92,6.8
Never Back Down ,2008,110,6.6
The Rage: Carrie 2,1999,104,4.6
The Bachelor             ,,60,2.9
Away We Go ,2009,98,7.1
Swing Vote ,2008,120,6.1
Moonlight Mile ,2002,112,6.7
Tinker Tailor Soldier Spy ,2011,127,7.1
Molly ,1999,102,5.8
The Beaver ,2011,91,6.7
The Best Little Whorehouse in Texas ,1982,114,5.8
eXistenZ ,1999,115,6.8
Raiders of the Lost Ark ,1981,115,8.5
Home Alone 2: Lost in New York,1992,120,6.6
Close Encounters of the Third Kind ,1977,135,7.7
Pulse ,2006,90,4.7
Beverly Hills Cop II ,1987,100,6.4
Bringing Down the House ,2003,105,5.5
The Silence of the Lambs ,1991,138,8.6
Wayne's World ,1992,94,7
Jackass 3D,2010,101,7.1
Jaws 2,1978,131,5.7
Beverly Hills Chihuahua ,2008,91,3.7
The Conjuring ,2013,112,7.5
Are We There Yet? ,2005,95,4.6
Tammy ,2014,100,4.9
Disturbia ,2007,105,6.9
School of Rock ,2003,108,7.1
Mortal Kombat ,1995,101,5.8
Wicker Park ,2004,114,7
White Chicks ,2004,109,5.4
The Descendants ,2011,115,7.3
Holes ,2003,117,7.1
The Last Song ,2010,107,5.8
12 Years a Slave,2013,134,8.1
Drumline ,2002,118,5.7
Why Did I Get Married Too? ,2010,121,4.4
Edward Scissorhands ,1990,105,7.9
Me Before You ,2016,110,7.6
Madea's Witness Protection ,2012,114,4.8
The French Connection ,1971,104,7.8
Bad Moms ,2016,100,6.7
Date Movie ,2006,85,2.7
Return to Never Land ,2002,72,5.8
Selma ,2014,128,7.5
The Jungle Book 2,2003,72,5.4
Boogeyman ,2005,89,4.1
Premonition ,2007,96,5.9
The Tigger Movie ,2000,77,6.3
Orphan ,2009,123,7
Max ,2015,111,6.8
Meet the Browns             ,,30,3.5
Epic Movie ,2007,93,2.3
Conan the Barbarian ,1982,129,6.9
Spotlight ,2015,128,8.1
Lakeview Terrace ,2008,110,6.1
The Grudge 2,2006,137,5
How Stella Got Her Groove Back ,1998,124,5.5
Bill & Ted's Bogus Journey ,1991,93,6.2
Man of the Year ,2006,115,6.2
The Black Hole ,1979,98,5.9
The American ,2010,105,6.3
Selena ,1997,127,6.7
Vampires Suck ,2010,82,3.5
Babel ,2006,143,7.5
This Is Where I Leave You ,2014,103,6.6
Doubt ,2008,104,7.5
Team America: World Police ,2004,98,7.2
Texas Chainsaw 3D,2013,92,4.8
Copycat ,1995,123,6.6
Scary Movie 5,2013,88,3.5
Paint Your Wagon ,1969,158,6.7
Milk ,2008,128,7.6
Risen ,2016,107,6.3
Ghost Ship ,2002,91,5.5
A Very Harold & Kumar 3D Christmas,2011,90,6.3
Wild Things ,1998,115,6.5
The Stepfather ,2009,101,5.6
The Debt ,2010,113,6.9
High Fidelity ,2000,113,7.6
One Missed Call ,2008,87,3.9
Eye for an Eye ,1996,101,6.1
The Bank Job ,2008,111,7.3
Eternal Sunshine of the Spotless Mind ,2004,108,8.3
You Again ,2010,105,5.8
Street Kings ,2008,109,6.8
The World's End ,2013,109,7
Nancy Drew ,2007,99,5.9
Daybreakers ,2009,98,6.5
She's Out of My League ,2010,104,6.4
Monte Carlo ,2011,109,5.8
Stay Alive ,2006,75,5.1
Quigley Down Under ,1990,119,6.8
Alpha and Omega ,2010,90,5.3
The Covenant ,2006,97,5.3
Stick It ,2006,103,6.4
Shorts ,2009,89,4.9
To Die For ,1995,106,6.8
Nerve ,2016,96,7.1
Appaloosa ,2008,115,6.8
Vampires ,1998,104,6.1
Yu-Gi-Oh! Duel Monsters             ,,24,7
Psycho ,1960,108,8.5
My Best Friend's Girl ,2008,112,5.9
Endless Love ,2014,104,6.3
Georgia Rule ,2007,113,5.9
Under the Rainbow ,1981,98,5.4
Ladyhawke ,1985,121,7
Simon Birch ,1998,114,6.9
Reign Over Me ,2007,124,7.5
Into the Wild ,2007,148,8.2
School for Scoundrels ,2006,108,5.9
Silent Hill: Revelation 3D,2012,95,5
From Dusk Till Dawn ,1996,108,7.3
Pooh's Heffalump Movie ,2005,68,6.4
Home for the Holidays ,1995,103,6.6
Kung Fu Hustle ,2004,99,7.8
Fired Up             ,,30,6.7
The Country Bears ,2002,88,4
The Kite Runner ,2007,128,7.6
21 Grams,2003,124,7.7
Paparazzi ,2004,84,5.8
Twilight ,2008,122,5.2
A Guy Thing ,2003,101,5.6
Loser ,2000,98,5.3
Capitalism: A Love Story ,2009,105,7.4
The Greatest Story Ever Told ,1965,225,6.6
Secret in Their Eyes ,2015,111,6.2
Disaster Movie ,2008,88,1.9
Armored ,2009,88,5.7
The Man Who Knew Too Little ,1997,94,6.6
What's Your Number? ,2011,117,6
Lockout ,2012,95,6.1
Envy ,2004,99,4.8
Crank: High Voltage ,2009,96,6.2
Bullets Over Broadway ,1994,98,7.5
One Night with the King ,2006,123,6.3
The Quiet American ,2002,101,7.1
The Weather Man ,2005,102,6.6
Undisputed ,2002,94,6.1
Ghost Town ,2008,102,6.7
12 Rounds,2009,108,5.6
Let Me In ,2010,116,7.2
3 Ninjas Kick Back,1994,93,4.3
Be Kind Rewind ,2008,102,6.4
Mrs Henderson Presents ,2005,103,7.1
Triple 9,2016,115,6.3
Deconstructing Harry ,1997,96,7.4
Three to Tango ,1999,98,6.1
